scraped_name;full_name;health_news_name;year;speciality;sub_speciality;experience;languages;city_state;patient_experience;url;journal;query
Zorbas, KA;KA Zorbas;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://www.hpbonline.org/article/S1365-182X(18)30406-4/abstract;False;HPB;whipple procedure
Karachristos, A;A Karachristos;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://www.hpbonline.org/article/S1365-182X(18)30406-4/abstract;False;HPB;whipple procedure
Karim, Sherko Abdullah Molah;Sherko Abdullah Molah Karim;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://www.sciencedirect.com/science/article/pii/S174391911830520X;True;International Journal of Surgery;whipple procedure
Abdulla, Karzan Seerwan;Karzan Seerwan Abdulla;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://www.sciencedirect.com/science/article/pii/S174391911830520X;True;International Journal of Surgery;whipple procedure
Abdulkarim, Qalandar Hussein;Qalandar Hussein Abdulkarim;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://www.sciencedirect.com/science/article/pii/S174391911830520X;True;International Journal of Surgery;whipple procedure
Rahim, Fattah Hama;Fattah Hama Rahim;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://www.sciencedirect.com/science/article/pii/S174391911830520X;True;International Journal of Surgery;whipple procedure
Dapri, Giovanni;Giovanni Dapri;unknown;2017;unknown;unknown;unknown;unknown;unknown;unknown;https://link.springer.com/article/10.1245/s10434-017-5944-x;True;Annals of surgical oncology;whipple procedure
Bascombe, Nigel Antonio;Nigel Antonio Bascombe;unknown;2017;unknown;unknown;unknown;unknown;unknown;unknown;https://link.springer.com/article/10.1245/s10434-017-5944-x;True;Annals of surgical oncology;whipple procedure
Gerard, Leonardo;Leonardo Gerard;unknown;2017;unknown;unknown;unknown;unknown;unknown;unknown;https://link.springer.com/article/10.1245/s10434-017-5944-x;True;Annals of surgical oncology;whipple procedure
Ballart, Carla Samaniego;Carla Samaniego Ballart;unknown;2017;unknown;unknown;unknown;unknown;unknown;unknown;https://link.springer.com/article/10.1245/s10434-017-5944-x;True;Annals of surgical oncology;whipple procedure
Vi{\~n}as, Carlos Gimenez;Carlos Gimenez Vi{\~n}as;unknown;2017;unknown;unknown;unknown;unknown;unknown;unknown;https://link.springer.com/article/10.1245/s10434-017-5944-x;True;Annals of surgical oncology;whipple procedure
Saussez, Sven;Sven Saussez;unknown;2017;unknown;unknown;unknown;unknown;unknown;unknown;https://link.springer.com/article/10.1245/s10434-017-5944-x;True;Annals of surgical oncology;whipple procedure
Beger, Hans G;Hans G Beger;unknown;2020;unknown;unknown;unknown;unknown;unknown;unknown;https://www.sciencedirect.com/science/article/pii/S1365182X20300034;True;HPB;whipple procedure
Mayer, Benjamin;Benjamin Mayer;unknown;2020;unknown;unknown;unknown;unknown;unknown;unknown;https://www.sciencedirect.com/science/article/pii/S1365182X20300034;True;HPB;whipple procedure
Poch, Bertram;Bertram Poch;unknown;2020;unknown;unknown;unknown;unknown;unknown;unknown;https://www.sciencedirect.com/science/article/pii/S1365182X20300034;True;HPB;whipple procedure
AlMistehi, Wael;Wael AlMistehi;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;http://search.proquest.com/openview/b6875c927a178e68f2f474f5773ae02d/1?pq-origsite=gscholar&cbl=1896353;True;Endocrine Practice;whipple procedure
Almahfouz, Abdulraof;Abdulraof Almahfouz;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;http://search.proquest.com/openview/b6875c927a178e68f2f474f5773ae02d/1?pq-origsite=gscholar&cbl=1896353;True;Endocrine Practice;whipple procedure
Wang, Jia-Wan;Jia-Wan Wang;unknown;2020;unknown;unknown;unknown;unknown;unknown;unknown;https://content.iospress.com/articles/clinical-hemorheology-and-microcirculation/ch190688;True;Clinical Hemorheology and Microcirculation;whipple procedure
Wu, An-Shi;An-Shi Wu;unknown;2020;unknown;unknown;unknown;unknown;unknown;unknown;https://content.iospress.com/articles/clinical-hemorheology-and-microcirculation/ch190688;True;Clinical Hemorheology and Microcirculation;whipple procedure
Yue, Yun;Yun Yue;unknown;2020;unknown;unknown;unknown;unknown;unknown;unknown;https://content.iospress.com/articles/clinical-hemorheology-and-microcirculation/ch190688;True;Clinical Hemorheology and Microcirculation;whipple procedure
Wu, Yan;Yan Wu;unknown;2020;unknown;unknown;unknown;unknown;unknown;unknown;https://content.iospress.com/articles/clinical-hemorheology-and-microcirculation/ch190688;True;Clinical Hemorheology and Microcirculation;whipple procedure
Magoga, Giulia;Giulia Magoga;unknown;2020;unknown;unknown;unknown;unknown;unknown;unknown;https://www.tandfonline.com/doi/abs/10.1080/14767058.2018.1488959;True;The Journal of Maternal-Fetal \& Neonatal Medicine;whipple procedure
Felder, Laura;Laura Felder;unknown;2020;unknown;unknown;unknown;unknown;unknown;unknown;https://www.tandfonline.com/doi/abs/10.1080/14767058.2018.1488959;True;The Journal of Maternal-Fetal \& Neonatal Medicine;whipple procedure
Palazzo, Francesco;Francesco Palazzo;unknown;2020;unknown;unknown;unknown;unknown;unknown;unknown;https://www.tandfonline.com/doi/abs/10.1080/14767058.2018.1488959;True;The Journal of Maternal-Fetal \& Neonatal Medicine;whipple procedure
Berghella, Vincenzo;Vincenzo Berghella;unknown;2020;unknown;unknown;unknown;unknown;unknown;unknown;https://www.tandfonline.com/doi/abs/10.1080/14767058.2018.1488959;True;The Journal of Maternal-Fetal \& Neonatal Medicine;whipple procedure
Zhang, Bin;Bin Zhang;unknown;2017;unknown;unknown;unknown;unknown;unknown;unknown;https://www.gastrojournal.org/article/S0016-5085(17)35477-X/abstract;True;Gastroenterology;whipple procedure
Yang, Xiao-jun;Xiao-jun Yang;unknown;2017;unknown;unknown;unknown;unknown;unknown;unknown;https://www.gastrojournal.org/article/S0016-5085(17)35477-X/abstract;True;Gastroenterology;whipple procedure
Qian, Zhu-yin;Zhu-yin Qian;unknown;2017;unknown;unknown;unknown;unknown;unknown;unknown;https://www.gastrojournal.org/article/S0016-5085(17)35477-X/abstract;True;Gastroenterology;whipple procedure
Lillemoe, Keith;Keith Lillemoe;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://www.jomi.com/article/16/whipple-procedure-for-multiple-endocrine-neoplasia-of-the-pancreas;True;Journal of Medical Insight;whipple procedure
Loehrer, Andrew;Andrew Loehrer;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://www.jomi.com/article/16/whipple-procedure-for-multiple-endocrine-neoplasia-of-the-pancreas;True;Journal of Medical Insight;whipple procedure
Nguyen, Adrienne;Adrienne Nguyen;unknown;2017;unknown;unknown;unknown;unknown;unknown;unknown;https://www.ingentaconnect.com/content/sesc/tas/2017/00000083/00000010/art00007;True;The American Surgeon;whipple procedure
Demirjian, Aram;Aram Demirjian;unknown;2017;unknown;unknown;unknown;unknown;unknown;unknown;https://www.ingentaconnect.com/content/sesc/tas/2017/00000083/00000010/art00007;True;The American Surgeon;whipple procedure
Yamamoto, Maki;Maki Yamamoto;unknown;2017;unknown;unknown;unknown;unknown;unknown;unknown;https://www.ingentaconnect.com/content/sesc/tas/2017/00000083/00000010/art00007;True;The American Surgeon;whipple procedure
Hollenbach, Kathryn;Kathryn Hollenbach;unknown;2017;unknown;unknown;unknown;unknown;unknown;unknown;https://www.ingentaconnect.com/content/sesc/tas/2017/00000083/00000010/art00007;True;The American Surgeon;whipple procedure
Imagawa, David K;David K Imagawa;unknown;2017;unknown;unknown;unknown;unknown;unknown;unknown;https://www.ingentaconnect.com/content/sesc/tas/2017/00000083/00000010/art00007;True;The American Surgeon;whipple procedure
Ko, Moses;Moses Ko;unknown;2017;unknown;unknown;unknown;unknown;unknown;unknown;http://search.proquest.com/openview/220d022f2d25dfe957fd5a2559a394fc/1?pq-origsite=gscholar&cbl=1896353;True;Endocrine Practice;whipple procedure
Quek, Timothy;Timothy Quek;unknown;2017;unknown;unknown;unknown;unknown;unknown;unknown;http://search.proquest.com/openview/220d022f2d25dfe957fd5a2559a394fc/1?pq-origsite=gscholar&cbl=1896353;True;Endocrine Practice;whipple procedure
Udhayachandhar, R;R Udhayachandhar;unknown;2020;unknown;unknown;unknown;unknown;unknown;unknown;http://www.ijaweb.org/article.asp?issn=0019-5049;year=2020;volume=64;issue=3;spage=216;epage=221;aulast=Udhayachandhar;False;Indian Journal of Anaesthesia;whipple procedure
Otokwala, J;J Otokwala;unknown;2020;unknown;unknown;unknown;unknown;unknown;unknown;http://www.ijaweb.org/article.asp?issn=0019-5049;year=2020;volume=64;issue=3;spage=216;epage=221;aulast=Udhayachandhar;False;Indian Journal of Anaesthesia;whipple procedure
Korula, Pritish J;Pritish J Korula;unknown;2020;unknown;unknown;unknown;unknown;unknown;unknown;http://www.ijaweb.org/article.asp?issn=0019-5049;year=2020;volume=64;issue=3;spage=216;epage=221;aulast=Udhayachandhar;True;Indian Journal of Anaesthesia;whipple procedure
Rymbai, Manbha;Manbha Rymbai;unknown;2020;unknown;unknown;unknown;unknown;unknown;unknown;http://www.ijaweb.org/article.asp?issn=0019-5049;year=2020;volume=64;issue=3;spage=216;epage=221;aulast=Udhayachandhar;True;Indian Journal of Anaesthesia;whipple procedure
Chandy, Tony T;Tony T Chandy;unknown;2020;unknown;unknown;unknown;unknown;unknown;unknown;http://www.ijaweb.org/article.asp?issn=0019-5049;year=2020;volume=64;issue=3;spage=216;epage=221;aulast=Udhayachandhar;True;Indian Journal of Anaesthesia;whipple procedure
Joseph, Philip;Philip Joseph;unknown;2020;unknown;unknown;unknown;unknown;unknown;unknown;http://www.ijaweb.org/article.asp?issn=0019-5049;year=2020;volume=64;issue=3;spage=216;epage=221;aulast=Udhayachandhar;True;Indian Journal of Anaesthesia;whipple procedure
Mehdorn, Matthias;Matthias Mehdorn;unknown;2016;unknown;unknown;unknown;unknown;unknown;unknown;https://bmcsurg.biomedcentral.com/articles/10.1186/s12893-016-0169-7;True;BMC surgery;whipple procedure
Petersen, Tim-Ole;Tim-Ole Petersen;unknown;2016;unknown;unknown;unknown;unknown;unknown;unknown;https://bmcsurg.biomedcentral.com/articles/10.1186/s12893-016-0169-7;True;BMC surgery;whipple procedure
Bartels, Michael;Michael Bartels;unknown;2016;unknown;unknown;unknown;unknown;unknown;unknown;https://bmcsurg.biomedcentral.com/articles/10.1186/s12893-016-0169-7;True;BMC surgery;whipple procedure
Jansen-Winkeln, Boris;Boris Jansen-Winkeln;unknown;2016;unknown;unknown;unknown;unknown;unknown;unknown;https://bmcsurg.biomedcentral.com/articles/10.1186/s12893-016-0169-7;True;BMC surgery;whipple procedure
Kassahun, Woubet Tefera;Woubet Tefera Kassahun;unknown;2016;unknown;unknown;unknown;unknown;unknown;unknown;https://bmcsurg.biomedcentral.com/articles/10.1186/s12893-016-0169-7;True;BMC surgery;whipple procedure
Emekli, Emre;Emre Emekli;unknown;2020;unknown;unknown;unknown;unknown;unknown;unknown;https://ruj.uj.edu.pl/xmlui/handle/item/151641;True;Polish Journal of Radiology;whipple procedure
G{\"u}ndo{\u{g}}du, Elif;Elif G{\"u}ndo{\u{g}}du;unknown;2020;unknown;unknown;unknown;unknown;unknown;unknown;https://ruj.uj.edu.pl/xmlui/handle/item/151641;True;Polish Journal of Radiology;whipple procedure
Brown, Tommy A;Tommy A Brown;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://www.journalacs.org/article/S1072-7515(18)31761-7/abstract;True;Journal of the American College of Surgeons;whipple procedure
Brown, Jonathan E;Jonathan E Brown;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://www.journalacs.org/article/S1072-7515(18)31761-7/abstract;True;Journal of the American College of Surgeons;whipple procedure
Britton, Briana;Briana Britton;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://www.journalacs.org/article/S1072-7515(18)31761-7/abstract;True;Journal of the American College of Surgeons;whipple procedure
Caldon, Toni L;Toni L Caldon;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://www.journalacs.org/article/S1072-7515(18)31761-7/abstract;True;Journal of the American College of Surgeons;whipple procedure
Dalla Valle, Raffaele;Raffaele Dalla Valle;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://link.springer.com/article/10.1007/s13304-018-0513-9;True;Updates in surgery;whipple procedure
Rossini, Matteo;Matteo Rossini;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://link.springer.com/article/10.1007/s13304-018-0513-9;True;Updates in surgery;whipple procedure
Lamecchi, Laura;Laura Lamecchi;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://link.springer.com/article/10.1007/s13304-018-0513-9;True;Updates in surgery;whipple procedure
Iaria, Maurizio;Maurizio Iaria;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://link.springer.com/article/10.1007/s13304-018-0513-9;True;Updates in surgery;whipple procedure
Raza Sayyed, Iffat Rehman;Iffat Rehman Raza Sayyed;unknown;2016;unknown;unknown;unknown;unknown;unknown;unknown;https://www.researchgate.net/profile/Raza_Sayyed/publication/304860759_Resection-Reconstruction_of_Aberrant_Right_Hepatic_Artery_During_Whipple_Procedure_Pancreaticoduodenectomy/links/5788f2e608ae5c86c99ac961.pdf;True;unknown;whipple procedure
Niazi, Imran Khalid;Imran Khalid Niazi;unknown;2016;unknown;unknown;unknown;unknown;unknown;unknown;https://www.researchgate.net/profile/Raza_Sayyed/publication/304860759_Resection-Reconstruction_of_Aberrant_Right_Hepatic_Artery_During_Whipple_Procedure_Pancreaticoduodenectomy/links/5788f2e608ae5c86c99ac961.pdf;True;unknown;whipple procedure
Yusuf, Muhammed Aasim;Muhammed Aasim Yusuf;unknown;2016;unknown;unknown;unknown;unknown;unknown;unknown;https://www.researchgate.net/profile/Raza_Sayyed/publication/304860759_Resection-Reconstruction_of_Aberrant_Right_Hepatic_Artery_During_Whipple_Procedure_Pancreaticoduodenectomy/links/5788f2e608ae5c86c99ac961.pdf;True;unknown;whipple procedure
Syed, Aamir Ali;Aamir Ali Syed;unknown;2016;unknown;unknown;unknown;unknown;unknown;unknown;https://www.researchgate.net/profile/Raza_Sayyed/publication/304860759_Resection-Reconstruction_of_Aberrant_Right_Hepatic_Artery_During_Whipple_Procedure_Pancreaticoduodenectomy/links/5788f2e608ae5c86c99ac961.pdf;True;unknown;whipple procedure
Hanif, Faisal;Faisal Hanif;unknown;2016;unknown;unknown;unknown;unknown;unknown;unknown;https://www.researchgate.net/profile/Raza_Sayyed/publication/304860759_Resection-Reconstruction_of_Aberrant_Right_Hepatic_Artery_During_Whipple_Procedure_Pancreaticoduodenectomy/links/5788f2e608ae5c86c99ac961.pdf;True;unknown;whipple procedure
