scraped_name;full_name;health_news_name;year;speciality;sub_speciality;experience;languages;city_state;patient_experience;url 
ID Rosado;Ismael Dominguez Rosado;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://link.springer.com/article/10.1007/s11605-016-3325-6
S Bhalla;Sanjeev Bhalla;Dr. Sanjeev Bhalla;unknown;Radiology;General Radiology;21+;Spanish;Saint Louis, MO;unknown;https://link.springer.com/article/10.1007/s11605-016-3325-6
LA Sanchez;Luis A. Sanchez;Dr. Luis A. Sanchez;unknown;Vascular Surgery;General Vascular Surgery;21+;English;Saint Louis, MO;5;https://link.springer.com/article/10.1007/s11605-016-3325-6
RC Fields…;Ryan C. Fields;Dr. Ryan C. Fields;unknown;General Surgery;General Surgery;11-20;English;Saint Louis, MO;5;https://link.springer.com/article/10.1007/s11605-016-3325-6
J Goldstein;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.postersessiononline.eu/173580348_eu/congresos/ILC2019/aula/-THU_307_ILC2019.pdf
AR Scheinberg;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.postersessiononline.eu/173580348_eu/congresos/ILC2019/aula/-THU_307_ILC2019.pdf
BJ Stover;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.postersessiononline.eu/173580348_eu/congresos/ILC2019/aula/-THU_307_ILC2019.pdf
D To…;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.postersessiononline.eu/173580348_eu/congresos/ILC2019/aula/-THU_307_ILC2019.pdf
SN Pinchot;Scott N. Pinchot;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://link.springer.com/chapter/10.1007/978-3-319-24557-7_38
SM Weber;Sharon M. Weber;Dr. Sharon M. Weber;unknown;General Surgery;General Surgery;21+;English;Madison, WI;5;https://link.springer.com/chapter/10.1007/978-3-319-24557-7_38
A Munis;Assad Munis;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6160612/
B Solomon;Brad Solomon;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6160612/
A Mazulis…;Andrew Mazulis;Dr. Andrew Mazulis;unknown;Gastroenterology;General Gastroenterology;3-5;English;West Bend, WI;unknown;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6160612/
A Rajab;Amer Rajab;Dr. Amer Rajab;unknown;General Surgery;General Surgery, Transplantation;21+;English;Columbus, OH;5;https://journals.lww.com/ajg/Fulltext/2018/10001/Total_Pancreatectomy_and_Islet_Autotransplantation.83.aspx
J Buss;Jill Buss;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://journals.lww.com/ajg/Fulltext/2018/10001/Total_Pancreatectomy_and_Islet_Autotransplantation.83.aspx
LF Lara;Luis Lara;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://journals.lww.com/ajg/Fulltext/2018/10001/Total_Pancreatectomy_and_Islet_Autotransplantation.83.aspx
P Hart…;Phil Hart;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://journals.lww.com/ajg/Fulltext/2018/10001/Total_Pancreatectomy_and_Islet_Autotransplantation.83.aspx
L Zorrilla;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.hpbonline.org/article/S1365-182X(18)30114-X/abstract
A Rosales;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.hpbonline.org/article/S1365-182X(18)30114-X/abstract
A Cracco;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.hpbonline.org/article/S1365-182X(18)30114-X/abstract
CH Simpfendorfer;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.hpbonline.org/article/S1365-182X(18)30114-X/abstract
ON Dilek;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://pdfs.semanticscholar.org/b848/efe6e8f7acd296a4deedcd871e9cba7719c4.pdf
O Özşay;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://pdfs.semanticscholar.org/b848/efe6e8f7acd296a4deedcd871e9cba7719c4.pdf
T Acar;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://pdfs.semanticscholar.org/b848/efe6e8f7acd296a4deedcd871e9cba7719c4.pdf
EÖ Gür;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://pdfs.semanticscholar.org/b848/efe6e8f7acd296a4deedcd871e9cba7719c4.pdf
SC Çelik;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://pdfs.semanticscholar.org/b848/efe6e8f7acd296a4deedcd871e9cba7719c4.pdf
F Cengiz…;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://pdfs.semanticscholar.org/b848/efe6e8f7acd296a4deedcd871e9cba7719c4.pdf
R Yun;Regina Yun;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://cdn.journals.lww.com/ccmjournal/Fulltext/2018/01001/440__CONSEQUENCES_OF_POSTOPERATIVE_HYPERGLYCEMIA.406.aspx?Ppt=Article|ccmjournal:2018:01001:00406||
A Javed;Ammar Javed;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://cdn.journals.lww.com/ccmjournal/Fulltext/2018/01001/440__CONSEQUENCES_OF_POSTOPERATIVE_HYPERGLYCEMIA.406.aspx?Ppt=Article|ccmjournal:2018:01001:00406||
A Jarrell;Andrew Jarrell;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://cdn.journals.lww.com/ccmjournal/Fulltext/2018/01001/440__CONSEQUENCES_OF_POSTOPERATIVE_HYPERGLYCEMIA.406.aspx?Ppt=Article|ccmjournal:2018:01001:00406||
J Crow…;Jessica Crow;Jessica Crowe;unknown;Family Nurse Practitioner;Family Care;Unknown;English;Evergreen, CO;unknown;https://cdn.journals.lww.com/ccmjournal/Fulltext/2018/01001/440__CONSEQUENCES_OF_POSTOPERATIVE_HYPERGLYCEMIA.406.aspx?Ppt=Article|ccmjournal:2018:01001:00406||
EE Cho;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.hpbonline.org/article/S1365-182X(19)30457-5/abstract
J Kurtz;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.hpbonline.org/article/S1365-182X(19)30457-5/abstract
R Borscheidt;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.hpbonline.org/article/S1365-182X(19)30457-5/abstract
H Osman;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.hpbonline.org/article/S1365-182X(19)30457-5/abstract
RD Jeyarajah;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.hpbonline.org/article/S1365-182X(19)30457-5/abstract
H Ariyarathna;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://pdfs.semanticscholar.org/c08f/f51ff7fbda1180181b2c90cced6c01c40f4d.pdf
SR Hulathduwa;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://pdfs.semanticscholar.org/c08f/f51ff7fbda1180181b2c90cced6c01c40f4d.pdf
